Change Component Footprint: Designator=C198 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C199 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C200 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C208 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C209 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C212 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C213 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C214 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C220 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C221 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Footprint: Designator=C222 Old Footprint=CAP_C_1608X80_L New Footprint=CAP_C_1005X50_L
Change Component Comment : Designator=C198 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C199 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C200 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C208 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C209 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C212 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C213 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C214 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C220 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C221 Old Comment=10uF/20V New Comment=4.7uF/10V
Change Component Comment : Designator=C222 Old Comment=10uF/20V New Comment=4.7uF/10V
