Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\BEE-1012 PAY-IF V1.1.0.PcbDoc
Date         : 29-Mar-26
Time         : 4:10:33 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    12V, Signal Layers Only, 0mm
    12V_CONN, Signal Layers Only, 0mm
    1V8_VCCAUX, Signal Layers Only, 0mm
    1V8_VCCIO3/4/5, Signal Layers Only, 0mm
    1V_VCORE, Signal Layers Only, 0mm
    3.3_VBAT, Signal Layers Only, 0mm
    3V3_COM, Signal Layers Only, 0mm
    3V3_FPGADN, Signal Layers Only, 0mm
    3V3_FPGAUP, Signal Layers Only, 0mm
    3V3_VCCIO0/1, Signal Layers Only, 0mm
    3V3_eMMC, Signal Layers Only, 0mm
    5V, Signal Layers Only, 0mm
    5V_FPGA, Signal Layers Only, 0mm
    ADC_TEMP1, Signal Layers Only, 0mm
    ADC_TEMP2, Signal Layers Only, 1.0161mm
    ADC_TEMP3, Signal Layers Only, 1.0161mm
    ADC_TEMP4, Signal Layers Only, 2.8425mm
    ADC_TEMP_1, Signal Layers Only, 0mm
    AUXOFF, Signal Layers Only, 1.4151mm
    BUS_3V3, Signal Layers Only, 0mm
    BUS_5V, Signal Layers Only, 0mm
    CAN_A7_H, Signal Layers Only, 3.073mm
    CAN_A7_L, Signal Layers Only, 2.9579mm
    CAN_AX_H, Signal Layers Only, 0mm
    CAN_AX_L, Signal Layers Only, 0mm
    CLK_EXP_CONNECTOR, Signal Layers Only, 1.8761mm
    CLK_EXP_PC104, Signal Layers Only, 0mm
    COM_UART_RX, Signal Layers Only, 0mm
    COM_UART_SEL_CHANNEL_A, Signal Layers Only, 0mm
    COM_UART_SEL_CHANNEL_B, Signal Layers Only, 0mm
    COM_UART_TX, Signal Layers Only, 0mm
    CS_EXP_CONNECTOR, Signal Layers Only, 1.8747mm
    CS_EXP_PC104, Signal Layers Only, 0mm
    DDR_A0, Signal Layers Only, 37.2634mm
    DDR_A1, Signal Layers Only, 37.2347mm
    DDR_A10, Signal Layers Only, 37.1345mm
    DDR_A11, Signal Layers Only, 37.2989mm
    DDR_A12, Signal Layers Only, 37.2125mm
    DDR_A13, Signal Layers Only, 37.221mm
    DDR_A14, Signal Layers Only, 37.1845mm
    DDR_A15, Signal Layers Only, 37.1861mm
    DDR_A2, Signal Layers Only, 37.2408mm
    DDR_A3, Signal Layers Only, 37.2429mm
    DDR_A4, Signal Layers Only, 37.2001mm
    DDR_A5, Signal Layers Only, 37.1012mm
    DDR_A6, Signal Layers Only, 37.2194mm
    DDR_A7, Signal Layers Only, 37.2833mm
    DDR_A8, Signal Layers Only, 37.2252mm
    DDR_A9, Signal Layers Only, 37.1966mm
    DDR_BA0, Signal Layers Only, 37.1483mm
    DDR_BA1, Signal Layers Only, 37.1375mm
    DDR_BA2, Signal Layers Only, 37.2649mm
    DDR_CAS, Signal Layers Only, 37.2627mm
    DDR_CKE, Signal Layers Only, 37.1875mm
    DDR_CK_N, Signal Layers Only, 36.9789mm
    DDR_CK_P, Signal Layers Only, 37.1579mm
    DDR_CS, Signal Layers Only, 37.1606mm
    DDR_D0, Signal Layers Only, 40.7081mm
    DDR_D1, Signal Layers Only, 40.6077mm
    DDR_D10, Signal Layers Only, 40.7371mm
    DDR_D11, Signal Layers Only, 40.6765mm
    DDR_D12, Signal Layers Only, 40.6426mm
    DDR_D13, Signal Layers Only, 40.6875mm
    DDR_D14, Signal Layers Only, 40.6644mm
    DDR_D15, Signal Layers Only, 40.6671mm
    DDR_D2, Signal Layers Only, 40.6474mm
    DDR_D3, Signal Layers Only, 40.7062mm
    DDR_D4, Signal Layers Only, 40.6954mm
    DDR_D5, Signal Layers Only, 40.6416mm
    DDR_D6, Signal Layers Only, 40.6818mm
    DDR_D7, Signal Layers Only, 40.6651mm
    DDR_D8, Signal Layers Only, 40.5959mm
    DDR_D9, Signal Layers Only, 40.6303mm
    DDR_DQM0, Signal Layers Only, 40.6811mm
    DDR_DQM1, Signal Layers Only, 40.6297mm
    DDR_DQS0_N, Signal Layers Only, 40.5669mm
    DDR_DQS0_P, Signal Layers Only, 40.5727mm
    DDR_DQS1_N, Signal Layers Only, 40.7209mm
    DDR_DQS1_P, Signal Layers Only, 40.7127mm
    DDR_ODT, Signal Layers Only, 36.9866mm
    DDR_RAS, Signal Layers Only, 37.2158mm
    DDR_RESET, Signal Layers Only, 11.3103mm
    DDR_VREF, Signal Layers Only, 32.6467mm
    DDR_WE, Signal Layers Only, 37.1979mm
    DDR_ZQ, Signal Layers Only, 3.4219mm
    EXP_2_CONN_USB_N, Signal Layers Only, 0mm
    EXP_2_CONN_USB_P, Signal Layers Only, 0mm
    EXP_2_IF_USB_N, Signal Layers Only, 0mm
    EXP_2_IF_USB_P, Signal Layers Only, 0mm
    EXP_ON_IF, Signal Layers Only, 0mm
    EXP_RS422_PASSTHR_RX+, Signal Layers Only, 6.7282mm
    EXP_RS422_PASSTHR_RX-, Signal Layers Only, 7.1574mm
    EXP_RS422_PASSTHR_TX+, Signal Layers Only, 2.7662mm
    EXP_RS422_PASSTHR_TX-, Signal Layers Only, 2.7627mm
    EXP_USB_N, Signal Layers Only, 14.6898mm
    EXP_USB_P, Signal Layers Only, 15.4469mm
    FLASH_SPI_MCLK, Signal Layers Only, 1.578mm
    FLASH_SPI_MCSN, Signal Layers Only, 0mm
    FLASH_SPI_MD2, Signal Layers Only, 0mm
    FLASH_SPI_MD3, Signal Layers Only, 0mm
    FLASH_SPI_MISO/MD1, Signal Layers Only, 0mm
    FLASH_SPI_MOSI/MD0, Signal Layers Only, 0mm
    FLT#, Signal Layers Only, 1.9802mm
    FPGA_DOWNLOAD_DONE, Signal Layers Only, 0mm
    FPGA_DOWNLOAD_INITN, Signal Layers Only, 0mm
    FPGA_DOWNLOAD_PROGRAMN, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MCLK, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MCSN, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MISO/MD1, Signal Layers Only, 0mm
    FPGA_FLASH_SPI_MOSI/MD0, Signal Layers Only, 0mm
    FPGA_HEATBEAT, Signal Layers Only, 0mm
    FPGA_INT_ERROR, Signal Layers Only, 0mm
    FPGA_LVDS_RXC_N, Signal Layers Only, 0mm
    FPGA_LVDS_RXC_P, Signal Layers Only, 0mm
    FPGA_LVDS_RXD_N, Signal Layers Only, 0mm
    FPGA_LVDS_RXD_P, Signal Layers Only, 0mm
