Altium Designer Pick and Place Locations
D:\Altium_WorkSpace\2_Satellite_1\Satellite_4U_IF_HW_1.0.0\01_DESIGN\Project Outputs for PAY_IF\Pick Place for BEE-1012 PAY-IF V1.0.0.txt

========================================================================================================================
File Design Information:

Date:       11/02/26
Time:       15:14
Revision:   10c0a9a2a4c08b9f410e93ab791982dda5bb6d10
Variant:    No variations
Units used: mm

Designator Comment                             Layer       Footprint                              Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                               
D3         LTST-C281KGKT                       TopLayer    LED_0402                               42.6010      5.1155       180      "LED GREEN CLEAR 0402 SMD"                                                                                                                
R94        DNP/0R                              BottomLayer RES_C_1005x30_L                        14.3510      61.0870      180      RES                                                                                                                                       
R92        22R                                 BottomLayer RES_C_0603X30                          31.4960      49.6570      180      RES                                                                                                                                       
C140       0.1uF/10V                           BottomLayer CAP_C_1005X50_L                        40.3860      79.3750      180      "CAP CHIP"                                                                                                                                
C139       0.1uF/10V                           TopLayer    CAP_C_0603x30                          52.5780      45.0850      180      "CAP CHIP"                                                                                                                                
R182       DNP/0R                              TopLayer    RES_C_1005x30_L                        75.8190      77.3430      0        RES                                                                                                                                       
R177       DNP/0R                              TopLayer    RES_C_1005x30_L                        75.8190      78.3590      0        RES                                                                                                                                       
R176       DNP/0R                              TopLayer    RES_C_1005x30_L                        75.8190      79.5020      0        RES                                                                                                                                       
R120       DNP/0R                              TopLayer    RES_C_1005x30_L                        75.8190      80.5180      0        RES                                                                                                                                       
R119       DNP/0R                              BottomLayer RES_C_0603X30                          55.6260      46.9900      180      RES                                                                                                                                       
R118       DNP/0R                              BottomLayer RES_C_0603X30                          55.6260      47.6250      180      RES                                                                                                                                       
R117       0R                                  BottomLayer RES_C_0603X30                          55.6260      46.3550      180      RES                                                                                                                                       
R116       0R                                  BottomLayer RES_C_0603X30                          55.6260      45.7200      180      RES                                                                                                                                       
R115       0R                                  BottomLayer RES_C_0603X30                          47.3202      76.4540      90       RES                                                                                                                                       
R114       0R                                  BottomLayer RES_C_0603X30                          46.6852      76.4540      90       RES                                                                                                                                       
R109       0R                                  TopLayer    RES_C_1005x30_L                        82.6290      68.4885      0        RES                                                                                                                                       
R77        0R                                  TopLayer    RES_C_1005x30_L                        82.6290      67.4725      0        RES                                                                                                                                       
R75        0R                                  TopLayer    RES_C_1005x30_L                        82.6290      66.4565      0        RES                                                                                                                                       
R53        0R                                  TopLayer    RES_C_1005x30_L                        82.6290      65.4405      0        RES                                                                                                                                       
U9         TC1047AVNBTR                        TopLayer    SOT-23_MC_MCH                          30.1092      33.3748      0        "SENSOR ANALOG -40C-125C SOT23-3"                                                                                                         
R233       1k                                  TopLayer    RES_C_1005x30_L                        28.5521      5.1036       180      RES                                                                                                                                       
R213       1k                                  TopLayer    RES_C_1005x30_L                        50.0828      5.1036       0        RES                                                                                                                                       
R212       1k                                  TopLayer    RES_C_1005x30_L                        55.4655      5.1036       0        RES                                                                                                                                       
R209       1k                                  TopLayer    RES_C_1005x30_L                        60.8482      5.1036       0        RES                                                                                                                                       
R202       4.7k                                TopLayer    RES_C_1005x30_L                        66.2312      5.1036       0        RES                                                                                                                                       
R190       1k                                  TopLayer    RES_C_1005x30_L                        44.7005      5.1036       180      RES                                                                                                                                       
R189       1k                                  TopLayer    RES_C_1005x30_L                        39.3178      5.1036       180      RES                                                                                                                                       
R161       22R                                 TopLayer    RES_C_1005x30_L                        32.3952      32.4858      90       RES                                                                                                                                       
R158       1k                                  TopLayer    RES_C_1005x30_L                        33.9351      5.1036       180      RES                                                                                                                                       
R156       10k                                 BottomLayer RES_C_1005x30_L                        25.9080      78.2320      90       RES                                                                                                                                       
R155       DNP/10k                             BottomLayer RES_C_1005x30_L                        29.2283      78.2248      270      RES                                                                                                                                       
R154       DNP/10k                             BottomLayer RES_C_1005x30_L                        32.5487      78.2320      270      RES                                                                                                                                       
R153       DNP/10k                             BottomLayer RES_C_1005x30_L                        28.1216      78.2192      270      RES                                                                                                                                       
