Altium Designer Pick and Place Locations
D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\Project Outputs for BEE-1012 PAY-IF V110\Pick Place for BEE-1012 PAY-IF V1.1.0.txt

========================================================================================================================
File Design Information:

Date:       26-04-26
Time:       15:34
Revision:   6ed85aece5cbaad513e650c5be58fe69db773875
Variant:    No variations
Units used: mm

Designator Comment                             Layer       Footprint                              Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                               
J14        TLE-110-01-G-DV-A-TR                TopLayer    SAMTEC-TLE-110-01-X-DV-A               16.6150      66.2100      270      "CONN RCPT 20POS 0.079 GOLD SMD"                                                                                                          
U8         IP4220CZ6                           TopLayer    DIODE_SOT457_1P7X3P1_NEX               38.8620      68.5800      0        ""                                                                                                                                        
U7         IP4220CZ6                           TopLayer    DIODE_SOT457_1P7X3P1_NEX               34.0043      68.5800      180      ""                                                                                                                                        
U38        S25FL128LAGMFI010                   BottomLayer SOIC8_S25FL_CYP                        20.1820      24.2443      180      Description                                                                                                                               
R407       47k                                 BottomLayer RES_C_1005x30_L                        84.1517      12.7395      270      RES                                                                                                                                       
R406       10k                                 BottomLayer RES_C_1005x30_L                        69.3420      12.8270      90       RES                                                                                                                                       
R405       10k                                 BottomLayer RES_C_1005x30_L                        79.1867      12.7398      90       RES                                                                                                                                       
R70        22R                                 TopLayer    RES_C_1005x30_L                        28.2062      64.0886      90       RES                                                                                                                                       
R404       1k                                  TopLayer    RES_C_1005x30_L                        24.9500      57.4040      180      RES                                                                                                                                       
R403       47K                                 TopLayer    RES_C_1005x30_L                        40.1361      50.4556      270      RES                                                                                                                                       
R402       100R                                BottomLayer RES_C_1005x30_L                        69.0880      37.9343      270      RES                                                                                                                                       
R401       10k                                 BottomLayer RES_C_1005x30_L                        68.6254      40.1955      180      RES                                                                                                                                       
U27        TPS5430DDAR                         BottomLayer CONV_TPS5430DDAR                       73.4060      61.0870      0        "5.5V to 36V Input, 3A, 500kHz Step-Down Converter"                                                                                       
R400       DNP/4.7k                            BottomLayer RES_C_1005x30_L                        14.4780      69.9537      180      RES                                                                                                                                       
R399       DNP/4.7k                            BottomLayer RES_C_1005x30_L                        14.4780      72.3900      180      RES                                                                                                                                       
C245       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        49.4035      60.7377      180      CAP                                                                                                                                       
R398       4.7k                                TopLayer    RES_C_1005x30_L                        43.0071      57.8548      180      RES                                                                                                                                       
R397       DNP/4.7k                            TopLayer    RES_C_1005x30_L                        43.0075      58.8157      0        RES                                                                                                                                       
R396       22R                                 BottomLayer RES_C_1005x30_L                        39.7703      50.2994      270      RES                                                                                                                                       
R395       22R                                 TopLayer    RES_C_1005x30_L                        46.0781      50.4553      270      RES                                                                                                                                       
R394       22R                                 TopLayer    RES_C_1005x30_L                        47.0261      50.4553      270      RES                                                                                                                                       
R393       DNP/4.7k                            TopLayer    RES_C_1005x30_L                        43.0071      59.7767      180      RES                                                                                                                                       
R392       4.7k                                TopLayer    RES_C_1005x30_L                        43.0075      60.7377      0        RES                                                                                                                                       
R391       10k                                 TopLayer    RES_C_1005x30_L                        45.2120      60.7377      180      RES                                                                                                                                       
R390       4.7k                                TopLayer    RES_C_1005x30_L                        43.0075      55.9328      0        RES                                                                                                                                       
R389       4.7k                                TopLayer    RES_C_1005x30_L                        43.0075      54.9718      0        RES                                                                                                                                       
C247       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        43.0073      56.8938      0        CAP                                                                                                                                       
C246       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        47.3850      60.7377      180      CAP                                                                                                                                       
U42        "PAC1934 UQFN-16"                   TopLayer    UQFN-16_4X4_EP2.6X2.6                  72.6887      79.3531      270      ""                                                                                                                                        
R388       KRL1632E-M-R010-F-T5                BottomLayer RES_C_1206_SHUNT                       75.9460      20.4470      180      Shunt                                                                                                                                     
R387       KRL1632E-M-R010-F-T5                TopLayer    RES_C_1206_SHUNT                       77.4460      64.0080      0        Shunt                                                                                                                                     
R386       10k                                 TopLayer    RES_C_1005x30_L                        69.5272      78.9353      270      RES                                                                                                                                       
R385       10k                                 TopLayer    RES_C_1005x30_L                        76.4833      82.6851      180      RES                                                                                                                                       
R219       10k                                 TopLayer    RES_C_1005x30_L                        76.4833      81.6267      180      RES                                                                                                                                       
R218       DNP/4.7k                            TopLayer    RES_C_1005x30_L                        69.5272      80.9256      90       RES                                                                                                                                       
R80        DNP/4.7k                            TopLayer    RES_C_1005x30_L                        70.0274      82.6851      0        RES                                                                                                                                       
C244       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        72.1793      82.6851      180      CAP                                                                                                                                       
C243       0.1uF/10V                           TopLayer    CAP_C_1005X50_L                        76.4834      80.5684      0        CAP                                                                                                                                       
C242       4.7uF/10V                           TopLayer    CAP_C_1005X50_L                        74.3314      82.6851      0        CAP                                                                                                                                       
C241       4.7uF/10V                           TopLayer    CAP_C_1005X50_L                        76.4914      79.5101      0        CAP                                                                                                                                       
Y6         "Crystal 2 Pins"                    TopLayer    CRYSTAL_NX2012SA                       50.7921      58.2468      90       Crystal                                                                                                                                   
U41        BNO086                              TopLayer    BNO086                                 46.3986      57.2832      0        "Accelerometer, Gyroscope, Magnetometer, Temperature, 9 Axis Sensor IC, SPI Output"                                                       
R384       120R                                TopLayer    RES_C_1005x30_L                        34.1858      41.1759      180      RES                                                                                                                                       
R81        "DNP/1M 1%"                         TopLayer    RES_C_1005x30_L                        49.0745      58.3191      270      RES                                                                                                                                       
JP9        ""                                  TopLayer    JUMPER_1608                            22.1971      36.6885      180      ""                                                                                                                                        
C240       18pF/10V                            TopLayer    CAP_C_1005X50_L                        52.5092      57.2592      90       CAP                                                                                                                                       
C239       18pF/10V                            TopLayer    CAP_C_1005X50_L                        52.5092      59.1752      270      CAP                                                                                                                                       
R382       DNP/4.7k                            BottomLayer RES_C_1005x30_L                        14.4780      65.0810      180      RES                                                                                                                                       
R383       DNP/4.7k                            BottomLayer RES_C_1005x30_L                        14.4780      66.2992      180      RES                                                                                                                                       
R25        20k                                 BottomLayer RES_C_1005x30_L                        34.1512      43.8488      180      RES                                                                                                                                       
U20        DS90LT012AQ-Q1                      BottomLayer DS90LV011AQ-Q1                         71.1050      78.4200      0        "Automotive LVDS Differential Line Receiver"                                                                                              
R304       DNP/0R                              BottomLayer RES_C_1005x30_L                        56.8835      10.2994      270      RES                                                                                                                                       
R303       DNP/0R                              BottomLayer RES_C_1005x30_L                        58.2563      10.2994      270      RES                                                                                                                                       
R301       DNP/0R                              BottomLayer RES_C_1005x30_L                        59.8737      10.2994      270      RES                                                                                                                                       
R300       DNP/0R                              BottomLayer RES_C_1005x30_L                        61.3410      10.2994      270      RES                                                                                                                                       
C65        18pF/10V                            BottomLayer CAP_C_1005X50_L                        65.8093      43.8341      270      CAP                                                                                                                                       
D12        _LED_GREEN                          BottomLayer LED_0603                               16.3830      54.7370      90       "LED GREEN CLEAR 0603 SMD"                                                                                                                
D11        _LED_GREEN                          BottomLayer LED_0603                               88.3050      54.9788      180      "LED GREEN CLEAR 0603 SMD"                                                                                                                
D10        _LED_YELLOW                         BottomLayer LED_0603                               88.3050      56.6886      180      "LED YELLOW CLEAR 603 SMD"                                                                                                                
D6         _LED_RED                            BottomLayer LED_0603                               88.3050      58.3983      180      "LED RED CLEAR 0603 SMD"                                                                                                                  
D3         _LED_BLUE                           BottomLayer LED_0603                               88.3050      49.8495      180      "LED BLUE CLEAR 0603 SMD"                                                                                                                 
D1         _LED_BLUE                           BottomLayer LED_0603                               38.6080      85.2170      90       "LED BLUE CLEAR 0603 SMD"                                                                                                                 
