# Package Migration - Certus-NX CSFBGA121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 31-May-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 14-Mar-2025,,Updated the -40 and -28 pinouts information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFD2NX-40,,,,,,,,LFD2NX-28,,,,,,,,LFD2NX-17,,,,,,,,LFD2NX-9,,,,,,
Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED
A1,JTAG_EN,1,-,-,-,FALSE,,A1,JTAG_EN,1,-,-,-,FALSE,,A1,JTAG_EN,1,-,-,-,FALSE,,A1,JTAG_EN,1,-,-,-,FALSE
A10,VSSSD,-,-,-,-,-,,A10,VSSSD,-,-,-,-,-,,A10,VSS,-,-,-,-,-,,A10,VSS,-,-,-,-,-
A11,SD_REFCLKP,-,-,-,-,FALSE,,A11,SD_REFCLKP,-,-,-,-,FALSE,,A11,NC,-,-,-,-,-,,A11,NC,-,-,-,-,-
A2,PR10B,1,-,TDO/SSO,Comp_OF_PR10A,FALSE,,A2,PR10B,1,-,TDO/SSO,Comp_OF_PR10A,FALSE,,A2,PR5B,1,-,TDO/SSO/SD1,Comp_OF_PR5A,FALSE,,A2,PR5B,1,-,TDO/SSO/SD1,Comp_OF_PR5A,FALSE
A3,PR8B,1,-,TDI/SSI,Comp_OF_PR8A,FALSE,,A3,PR8B,1,-,TDI/SSI,Comp_OF_PR8A,FALSE,,A3,PR5A,1,-,TDI/SSI/SD0,True_OF_PR5B,FALSE,,A3,PR5A,1,-,TDI/SSI/SD0,True_OF_PR5B,FALSE
A4,VSSSD,-,-,-,-,-,,A4,VSSSD,-,-,-,-,-,,A4,VSS,-,-,-,-,-,,A4,VSS,-,-,-,-,-
A5,SD0_RXDP,80,-,-,True_OF_SD0_RXDN,FALSE,,A5,SD0_RXDP,80,-,-,True_OF_SD0_RXDN,FALSE,,A5,NC,-,-,-,-,-,,A5,NC,-,-,-,-,-
A6,SD0_RXDN,80,-,-,Comp_OF_SD0_RXDP,FALSE,,A6,SD0_RXDN,80,-,-,Comp_OF_SD0_RXDP,FALSE,,A6,NC,-,-,-,-,-,,A6,NC,-,-,-,-,-
A7,VSSSD,-,-,-,-,-,,A7,VSSSD,-,-,-,-,-,,A7,VSS,-,-,-,-,-,,A7,VSS,-,-,-,-,-
A8,SD0_TXDP,80,-,-,True_OF_SD0_TXDN,FALSE,,A8,SD0_TXDP,80,-,-,True_OF_SD0_TXDN,FALSE,,A8,NC,-,-,-,-,-,,A8,NC,-,-,-,-,-
A9,SD0_TXDN,80,-,-,Comp_OF_SD0_TXDP,FALSE,,A9,SD0_TXDN,80,-,-,Comp_OF_SD0_TXDP,FALSE,,A9,NC,-,-,-,-,-,,A9,NC,-,-,-,-,-
B1,PR6B,1,-,TMS/SCSN,Comp_OF_PR6A,FALSE,,B1,PR6B,1,-,TMS/SCSN,Comp_OF_PR6A,FALSE,,B1,PR3B,1,-,TMS/SCSN,-,-,,B1,PR3B,1,-,TMS/SCSN,-,-
B10,VSSSD,-,-,-,-,-,,B10,VSSSD,-,-,-,-,-,,B10,VSSADC,70,-,-,-,-,,B10,VSSADC,70,-,-,-,-
B11,SD_REFCLKN,-,-,-,-,FALSE,,B11,SD_REFCLKN,-,-,-,-,FALSE,,B11,NC,-,-,-,-,-,,B11,NC,-,-,-,-,-
B2,PR11A,1,-,SD3/SDA/USER_SDA,True_OF_PR11B,FALSE,,B2,PR11A,1,-,SD3/SDA/USER_SDA,True_OF_PR11B,FALSE,,B2,PR7A,1,-,SD3/SDA/USER_SDA,True_OF_PR7B,FALSE,,B2,PR7A,1,-,SD3/SDA/USER_SDA,True_OF_PR7B,FALSE
B3,PT84A,0,-,-,True_OF_PT84B,FALSE,,B3,PT84A,0,-,-,True_OF_PT84B,FALSE,,B3,PT67A,0,-,S7_IN,True_OF_PT67B,FALSE,,B3,PT67A,0,-,S7_IN,True_OF_PT67B,FALSE
B4,PT74A,0,-,INITN,True_OF_PT74B,FALSE,,B4,PT74A,0,-,INITN,True_OF_PT74B,FALSE,,B4,PT57A,0,-,INITN,True_OF_PT57B,FALSE,,B4,PT57A,0,-,INITN,True_OF_PT57B,FALSE
B5,VCCSD0,80,-,-,-,-,,B5,VCCSD0,80,-,-,-,-,,B5,NC,-,-,-,-,-,,B5,NC,-,-,-,-,-
B6,VSSSD,-,-,-,-,-,,B6,VSSSD,-,-,-,-,-,,B6,VSS,-,-,-,-,-,,B6,VSS,-,-,-,-,-
B7,VCCPLLSD0,80,-,-,-,-,,B7,VCCPLLSD0,80,-,-,-,-,,B7,NC,-,-,-,-,-,,B7,NC,-,-,-,-,-
B8,SD0_REFRET,80,-,-,-,FALSE,,B8,SD0_REFRET,80,-,-,-,FALSE,,B8,NC,-,-,-,-,-,,B8,NC,-,-,-,-,-
B9,VCCAUXSD,80,-,-,-,-,,B9,VCCAUXSD,80,-,-,-,-,,B9,VCCADC18,70,-,-,-,-,,B9,VCCADC18,70,-,-,-,-
C1,PR13A,1,-,TCK/SCLK,True_OF_PR13B,FALSE,,C1,PR13A,1,-,TCK/SCLK,True_OF_PR13B,FALSE,,C1,PR9A,1,-,TCK/SCLK/PMU_EXT_CLK,True_OF_PR9B,FALSE,,C1,PR9A,1,-,TCK/SCLK/PMU_EXT_CLK,True_OF_PR9B,FALSE
C10,VCC,-,-,-,-,-,,C10,VCC,-,-,-,-,-,,C10,VCC,-,-,-,-,-,,C10,VCC,-,-,-,-,-
C11,VSS,-,-,-,-,-,,C11,VSS,-,-,-,-,-,,C11,VSS,-,-,-,-,-,,C11,VSS,-,-,-,-,-
C2,PR11B,1,-,SD2/SCL/USER_SCL,Comp_OF_PR11A,FALSE,,C2,PR11B,1,-,SD2/SCL/USER_SCL,Comp_OF_PR11A,FALSE,,C2,PR7B,1,-,SD2/SCL/USER_SCL,Comp_OF_PR7A,FALSE,,C2,PR7B,1,-,SD2/SCL/USER_SCL,Comp_OF_PR7A,FALSE
C3,PT84B,0,-,-,Comp_OF_PT84A,FALSE,,C3,PT84B,0,-,-,Comp_OF_PT84A,FALSE,,C3,PT67B,0,-,S7_OUT,Comp_OF_PT67A,FALSE,,C3,PT67B,0,-,S7_OUT,Comp_OF_PT67A,FALSE
C4,PT74B,0,-,PROGRAMN,Comp_OF_PT74A,FALSE,,C4,PT74B,0,-,PROGRAMN,Comp_OF_PT74A,FALSE,,C4,PT57B,0,-,PROGRAMN,Comp_OF_PT57A,FALSE,,C4,PT57B,0,-,PROGRAMN,Comp_OF_PT57A,FALSE
C5,PT80B,0,-,MD2,Comp_OF_PT80A,FALSE,,C5,PT80B,0,-,MD2,Comp_OF_PT80A,FALSE,,C5,PT63B,0,-,MD2/SD6,Comp_OF_PT63A,FALSE,,C5,PT63B,0,-,MD2/SD6,Comp_OF_PT63A,FALSE
